,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,1.04,22.0,3.19,0.12,2.77,0.13,1020.0,336.0,1
1,2.39,27.0,3.16,0.17,9.72,0.13,436.0,827.0,0
2,3.33,28.0,3.05,0.2,14.4,25.0,63.0,1539.0,0
3,2.18,29.0,4.52,0.09,4.94,0.13,429.0,591.0,1
4,3.25,18.0,2.36,0.17,2.0,17.0,1254.0,535.0,1
5,2.53,19.0,3.86,0.08,0.0,18.0,2109.0,1102.0,1
6,1.38,56.0,3.42,0.06,0.0,6.0,0.0,711.0,1
7,4.2,57.0,3.11,0.12,0.0,0.13,990.0,336.0,1
8,8.75,70.0,3.11,0.25,2.42,59.0,57.0,868.0,1
9,9.19,114.0,3.23,0.19,8.12,0.13,217.0,779.0,0
10,1.17,148.0,2.07,0.33,11.17,0.13,361.0,334.0,0
11,6.29,176.0,3.44,0.18,1.65,0.13,589.0,365.0,1
12,6.13,186.0,4.33,0.1,19.81,0.13,578.0,512.0,1
13,1.14,192.0,1.45,0.29,33.29,0.13,39.0,1700.0,0
14,8.5,262.0,0.88,0.5,0.0,208.0,582.0,526.0,1
15,1.35,286.0,5.18,0.03,6.02,0.29,1427.0,1005.0,1
16,5.18,290.0,2.65,0.12,4.76,0.07,1995.0,257.0,1
17,7.5,303.0,0.68,0.5,5.5,0.02,581.0,533.0,0
18,7.93,306.0,3.19,0.14,11.43,0.12,49.0,971.0,1
19,4.63,310.0,2.65,0.05,8.05,0.13,390.0,892.0,1
20,4.0,316.0,1.24,0.25,9.5,249.0,0.0,977.0,0
21,7.56,332.0,2.52,0.06,11.06,0.13,267.0,360.0,1
22,6.6,334.0,3.89,0.03,9.37,0.13,429.0,358.0,1
23,5.43,353.0,1.9,0.1,14.67,0.01,323.0,1740.0,0
24,9.95,374.0,2.19,0.05,6.71,0.13,728.0,708.0,0
25,12.06,377.0,1.35,0.12,2.18,0.01,581.0,1563.0,1
26,9.19,386.0,3.81,0.08,14.27,0.13,125.0,750.0,1
27,8.64,10.0,2.36,0.18,2.91,3.0,0.0,1572.0,1
28,7.25,398.0,5.6,0.05,5.79,0.27,1333.0,1249.0,0
29,11.62,433.0,1.97,0.12,5.32,0.27,871.0,876.0,0
30,18.6,523.0,1.81,0.4,8.2,0.01,136.0,1243.0,0
31,6.05,531.0,2.19,0.16,12.32,0.25,1367.0,239.0,0
32,40.25,534.0,0.19,1.0,0.0,0.02,184.0,1123.0,1
33,18.33,554.0,2.18,0.17,5.72,0.04,799.0,212.0,0
34,24.67,580.0,1.97,0.22,18.89,0.13,195.0,480.0,0
35,29.82,637.0,2.47,0.36,8.27,0.13,472.0,454.0,0
36,11.64,665.0,5.41,0.05,28.43,0.02,725.0,1192.0,1
37,16.57,684.0,2.24,0.43,3.57,0.13,160.0,721.0,0
38,34.8,9.0,1.65,0.8,15.2,1.45,1205.0,84.0,0
39,38.58,844.0,1.58,0.33,9.92,0.13,445.0,461.0,0
40,7.6,941.0,3.72,0.2,31.6,794.0,98.0,901.0,0
41,13.3,978.0,3.24,0.26,3.04,0.13,628.0,611.0,0
42,27.69,23.0,2.9,0.46,4.77,0.29,551.0,205.0,0
43,31.08,1034.0,3.08,0.38,13.23,0.13,611.0,165.0,0
44,28.32,30.0,3.07,0.26,15.26,0.06,554.0,440.0,0
45,35.47,1060.0,2.84,0.41,18.06,0.01,638.0,231.0,0
46,37.85,1066.0,1.91,0.46,0.0,0.13,2194.0,506.0,1
47,24.33,65.0,3.45,0.33,4.61,0.2,1304.0,341.0,1
48,17.17,205.0,0.63,0.5,18.58,0.27,160.0,1517.0,0
49,14.79,83.0,2.01,0.43,13.29,0.02,378.0,321.0,0
50,22.8,1055.0,2.76,0.4,4.2,0.02,524.0,281.0,1
51,16.48,1051.0,3.89,0.15,21.58,0.27,808.0,169.0,0
52,19.0,207.0,1.52,0.67,14.11,0.39,616.0,1481.0,0
53,24.1,212.0,1.45,0.6,4.6,0.27,806.0,207.0,0
54,4.14,10.0,1.74,0.57,7.71,0.42,304.0,435.0,0
55,7.61,1075.5,2.89,0.17,26.56,0.13,534.0,423.0,0
56,8.2,1080.5,1.95,0.6,30.8,1022.0,461.0,573.0,0
57,26.6,1102.5,3.04,0.35,28.0,0.02,1367.0,285.0,0
58,34.95,1152.0,2.85,0.32,12.42,0.01,269.0,571.0,0
59,26.36,184.0,3.25,0.32,0.0,0.02,585.0,953.0,1
60,28.72,201.0,4.18,0.32,54.72,0.06,858.0,732.0,0
61,50.81,1160.5,1.44,0.5,25.0,0.25,1417.0,326.0,0
62,34.04,1239.5,3.67,0.17,36.12,0.21,1654.0,1180.0,0
63,36.39,1315.5,5.33,0.1,51.6,0.02,413.0,1062.0,1
64,99.78,62.0,2.48,0.44,2.5,0.01,559.0,168.0,1
65,52.42,102.0,2.92,0.5,10.25,0.0,1168.0,11.0,0
66,96.46,1553.5,2.49,0.69,10.31,0.12,633.0,331.0,0
67,45.26,1598.0,3.3,0.3,16.35,0.02,548.0,843.0,0
68,67.92,366.0,3.62,0.35,58.96,0.02,525.0,1308.0,0
69,2.73,371.0,2.13,0.18,6.09,13.0,1032.0,741.0,0
70,54.15,1858.33,2.17,0.23,31.85,0.17,745.0,1735.0,0
71,118.26,23.0,2.91,0.47,10.32,0.87,613.0,325.0,0
72,59.29,1876.33,1.27,1.29,9.0,0.38,1274.0,406.0,0
73,62.18,370.5,3.21,0.3,0.39,0.0,2266.0,1132.0,1
74,1.0,1953.17,1.0,0.5,0.0,22.0,736.0,755.0,1
75,97.25,89.0,2.44,1.0,0.75,1.26,1240.0,13.0,1
76,16.26,488.0,2.61,0.24,40.53,0.0,8.0,1496.0,0
77,1.21,208.0,2.71,0.29,18.5,1.0,606.0,181.0,0
78,27.32,2135.33,2.72,0.32,37.59,0.13,938.0,923.0,0
79,91.61,232.0,3.02,0.36,34.93,1.26,992.0,133.0,0
80,86.67,2190.83,3.75,0.42,0.0,0.02,123.0,1207.0,1
81,49.04,32.0,3.26,0.22,52.33,0.35,590.0,1775.0,0
82,34.17,2216.0,2.87,0.43,11.78,0.02,1537.0,513.0,0
83,152.57,30.0,2.7,0.71,8.0,1.48,472.0,241.0,0
84,123.57,31.0,2.55,0.71,7.0,1.0,987.0,268.0,0
85,124.64,2251.0,2.54,0.71,0.0,0.02,985.0,267.0,1
86,85.0,246.5,2.76,1.0,0.0,0.19,448.0,283.0,1
87,33.06,2368.17,2.66,0.5,17.78,0.13,1445.0,367.0,0
88,193.93,555.0,3.36,0.79,21.93,1.26,522.0,282.0,0
89,94.4,562.0,3.0,0.55,6.6,0.88,531.0,303.0,0
90,28.91,658.0,4.49,0.2,5.15,1.66,1001.0,632.0,1
91,154.12,692.0,3.26,0.71,3.88,1.26,314.0,384.0,1
92,154.12,692.0,3.26,0.71,3.88,1.26,310.0,380.0,1
93,46.12,2313.08,5.06,0.23,23.7,0.02,863.0,922.0,0
94,29.7,2316.08,5.02,0.2,0.93,0.13,527.0,789.0,1
95,49.48,726.0,2.71,0.62,25.1,0.87,369.0,583.0,0
96,31.48,54.0,4.06,0.26,25.2,1.0,1031.0,166.0,0
97,101.55,65.0,0.3,1.55,63.91,0.8,664.0,662.0,0
98,82.47,24.0,4.75,0.36,55.4,0.17,1341.0,819.0,0
99,172.78,2209.92,1.53,0.62,47.06,0.15,882.0,753.0,0
100,90.41,33.0,4.61,0.41,17.63,0.2,1079.0,163.0,0
101,324.44,852.5,1.19,2.0,23.33,1.26,477.0,359.0,0
102,156.0,871.5,3.73,0.68,69.68,1.26,481.0,356.0,0
103,113.68,116.0,3.6,0.68,45.04,0.14,630.0,489.0,0
104,105.3,659.0,1.32,1.8,5.9,0.06,577.0,388.0,0
105,65.61,2212.22,4.36,0.25,43.01,0.13,741.0,909.0,0
106,69.24,102.5,2.92,0.51,35.08,0.33,1262.0,725.0,0
107,196.0,867.33,1.82,1.15,14.05,0.88,607.0,465.0,0
108,376.71,654.75,1.71,3.14,16.0,0.05,1507.0,665.0,0
109,35.0,656.75,1.65,2.75,0.0,433.0,1487.0,655.0,1
110,68.15,878.67,2.21,0.67,18.44,1.66,1267.0,199.0,0
111,154.78,878.67,2.0,0.96,23.7,1.26,1113.0,182.0,0
112,87.31,877.67,2.88,1.0,21.06,0.87,1180.0,642.0,0
113,60.07,877.33,5.48,0.27,93.09,0.87,1427.0,1385.0,0
114,7.62,893.33,3.89,0.23,49.19,802.0,611.0,493.0,0
