,nuc,aexp,nd,ns,age,la,ld,target
0,26.07,77.0,3.0,2.0,106.33,397.0,180.0,True
1,44.55,61.0,4.0,2.0,75.73,584.0,145.0,True
2,91.2,84.0,3.0,2.0,57.4,167.0,32.0,True
3,70.29,85.0,3.0,2.0,46.29,798.0,17.0,True
4,68.22,91.0,3.0,2.0,41.44,210.0,117.0,True
5,101.0,85.0,2.0,2.0,56.0,266.0,173.0,True
6,84.8,101.0,4.0,2.0,26.4,436.0,184.0,True
7,152.0,112.0,2.0,2.0,0.0,532.0,423.0,True
8,129.22,117.0,4.0,2.0,25.22,577.0,140.0,True
9,124.89,123.0,3.0,2.0,23.78,343.0,52.0,True
10,127.67,148.0,3.0,2.0,8.0,352.0,51.0,True
11,193.8,151.0,3.0,2.0,39.4,173.0,89.0,True
12,247.8,163.0,3.0,2.0,12.4,402.0,197.0,True
13,131.0,141.0,2.0,2.0,7.75,283.0,249.0,True
14,173.5,145.0,2.0,2.0,37.5,427.0,112.0,True
15,11.89,206.0,5.0,2.0,44.22,191.0,118.0,True
16,15.38,203.0,2.0,1.0,47.38,374.0,292.0,True
17,52.75,222.0,3.0,1.0,29.38,393.0,392.0,True
18,33.83,278.0,2.0,1.0,55.42,978.0,334.0,True
19,77.25,282.0,2.0,1.0,29.25,548.0,265.0,True
20,21.32,286.0,3.0,2.0,0.11,543.0,348.0,True
21,46.07,282.0,3.0,2.0,8.07,134.0,131.0,True
22,110.0,259.0,2.0,1.0,72.0,166.0,46.0,True
23,96.6,293.0,5.0,2.0,34.2,171.0,35.0,True
24,48.25,297.0,4.0,2.0,42.88,675.0,120.0,True
25,96.83,277.0,2.0,1.0,50.0,153.0,60.0,True
26,123.6,384.0,4.0,2.0,40.0,97.0,13.0,True
27,103.67,309.0,3.0,2.0,8.5,853.0,6.0,True
28,86.44,398.0,4.0,2.0,39.89,185.0,25.0,True
29,151.83,247.0,3.0,2.0,12.67,61.0,2.0,True
30,99.5,364.0,3.0,2.0,10.5,122.0,77.0,True
31,2.33,270.0,1.0,1.0,4.33,700.0,218.0,True
32,152.8,184.0,4.0,2.0,44.8,241.0,23.0,True
33,2.2,133.0,3.0,2.0,89.0,318.0,0.0,True
34,370.75,287.0,3.0,2.0,101.75,238.0,38.0,True
35,235.53,247.0,4.0,2.0,14.27,320.0,350.0,True
36,343.7,249.0,4.0,2.0,70.1,444.0,384.0,True
37,231.92,262.0,3.0,2.0,44.33,790.0,14.0,True
38,148.73,307.0,2.0,2.0,13.67,613.0,189.0,True
39,24.71,333.0,3.0,1.0,25.86,511.0,278.0,True
40,62.62,273.43,2.53,1.53,33.59,367.43,207.36,True
41,22.13,285.75,2.99,1.99,0.76,539.55,345.24,True
42,84.05,266.9,2.29,1.29,50.96,276.33,134.38,True
43,32.84,282.49,2.87,1.87,9.45,494.0,308.75,True
44,91.44,264.65,2.21,1.21,56.96,244.89,109.19,True
45,108.31,259.51,2.02,1.02,70.63,173.19,51.76,True
46,66.78,272.16,2.49,1.49,36.96,349.73,193.18,True
47,84.25,266.84,2.29,1.29,51.13,275.45,133.68,True
48,93.48,264.03,2.19,1.19,58.61,236.21,102.24,True
49,60.72,274.0,2.56,1.56,32.05,375.48,213.81,True
50,92.23,264.41,2.2,1.2,57.6,241.52,106.5,True
51,57.27,275.05,2.59,1.59,29.25,390.16,225.56,True
52,53.38,276.24,2.64,1.64,26.1,406.7,238.81,True
53,51.41,276.84,2.66,1.66,24.5,415.06,245.52,True
