,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,65.0,8.0,1.0,6.0,4.0,4.0,75.0,2.0,0
1,64.0,13.0,1.0,7.0,21.5,1.01,69.0,36.0,0
2,126.5,73.5,0.92,8.0,6.0,0.0,3.0,3.0,1
3,91.0,31.0,1.0,8.5,9.5,0.57,2.0,2.0,1
4,66.0,6.0,0.91,8.0,14.0,0.52,22.0,18.0,0
5,83.5,18.0,1.0,8.5,70.5,10.0,2.0,2.0,0
6,84.0,42.0,1.22,6.0,73.67,0.54,9.0,0.0,1
7,94.67,111.0,1.51,6.0,13.0,0.0,30.0,1.0,0
8,106.33,58.0,1.25,6.0,41.33,0.37,16.0,2.0,0
9,111.5,62.0,1.0,9.0,0.0,16.0,27.0,72.0,1
10,112.5,119.0,0.8,9.0,8.0,21.0,129.0,18.0,0
11,115.5,31.0,0.54,10.5,8.0,24.0,23.0,1.0,0
12,106.5,72.0,1.62,5.75,19.0,0.0,43.0,17.0,0
13,159.5,98.0,0.89,11.5,0.0,15.0,125.0,8.0,1
14,48.67,104.0,1.45,6.67,31.33,0.94,82.0,28.0,0
15,146.67,117.0,1.35,7.67,32.67,0.0,76.0,12.0,0
16,39.33,5.0,1.15,6.67,0.33,2.0,108.0,5.0,0
17,77.0,6.0,0.92,10.5,23.0,0.95,8.0,4.0,0
18,64.0,129.0,0.64,11.5,2.0,0.94,133.0,2.0,0
19,54.33,26.0,1.41,8.0,17.33,3.0,55.0,29.0,0
20,88.5,178.0,1.0,12.5,55.0,58.0,35.0,9.0,0
21,54.5,132.0,1.18,7.25,16.5,0.49,15.0,10.0,0
22,54.67,65.0,1.29,8.67,16.67,0.87,108.0,7.0,0
23,32.0,3.0,0.98,8.5,64.5,0.88,50.0,2.0,0
24,143.0,79.0,1.76,7.5,26.25,0.37,2.0,23.0,1
25,149.67,18.0,1.39,9.0,0.33,14.0,27.0,0.0,1
26,121.5,54.0,1.61,7.25,6.75,40.0,29.0,11.0,0
27,117.75,21.0,1.36,8.0,28.5,1.03,395.0,34.0,0
28,98.67,6.0,1.48,11.67,3.33,0.28,118.0,18.0,0
29,133.75,10.0,1.81,8.75,6.0,0.08,12.0,10.0,0
30,161.33,35.0,1.41,9.67,0.0,8.0,70.0,7.0,1
31,118.25,15.0,1.71,8.25,53.5,0.49,17.0,18.0,0
32,73.5,54.5,0.95,13.0,17.5,1.0,151.0,12.0,0
33,68.25,47.0,1.52,7.5,4.75,45.0,72.0,46.0,0
34,74.5,59.0,0.79,13.5,18.0,5.0,36.0,28.0,0
35,83.83,60.0,1.75,5.67,5.17,0.0,121.0,6.0,0
36,110.8,18.0,1.89,7.0,7.0,0.46,578.0,35.0,0
37,81.0,65.0,0.86,14.5,8.5,29.0,87.0,23.0,0
38,83.0,51.0,0.62,9.33,41.33,34.0,34.0,37.0,0
39,150.5,59.0,0.97,14.5,10.0,2.0,5.0,5.0,0
40,58.5,25.0,0.92,9.0,23.5,0.52,3.0,3.0,1
41,68.0,69.0,1.86,7.75,2.0,1.0,13.0,1.0,0
42,82.0,205.5,0.55,14.0,10.0,26.0,30.0,25.0,0
